
 Document Pair(0,0) 	 Similarity Score: 138.92190129982208

 Document Pair(0,1) 	 Similarity Score: 40.38873605350878

 Document Pair(0,2) 	 Similarity Score: 40.38873605350878

 Document Pair(0,3) 	 Similarity Score: 40.38873605350878

 Document Pair(0,4) 	 Similarity Score: 112.42640687119285

 Document Pair(0,5) 	 Similarity Score: 112.42640687119285

 Document Pair(0,6) 	 Similarity Score: 138.92190129982208

 Document Pair(0,7) 	 Similarity Score: 138.92190129982208

 Document Pair(0,8) 	 Similarity Score: 138.92190129982208

 Document Pair(0,9) 	 Similarity Score: 138.92190129982208

 Document Pair(0,10) 	 Similarity Score: 138.92190129982208

 Document Pair(0,11) 	 Similarity Score: 40.38873605350878

 Document Pair(0,12) 	 Similarity Score: 40.38873605350878

 Document Pair(0,13) 	 Similarity Score: 40.38873605350878

 Document Pair(0,14) 	 Similarity Score: 40.38873605350878

 Document Pair(0,15) 	 Similarity Score: 40.38873605350878

 Document Pair(0,16) 	 Similarity Score: 40.38873605350878

 Document Pair(0,17) 	 Similarity Score: 40.38873605350878

 Document Pair(0,18) 	 Similarity Score: 40.38873605350878

 Document Pair(0,19) 	 Similarity Score: 40.38873605350878

 Document Pair(0,20) 	 Similarity Score: 40.38873605350878

 Document Pair(1,0) 	 Similarity Score: 40.38873605350878

 Document Pair(1,1) 	 Similarity Score: 138.92190129982208

 Document Pair(1,2) 	 Similarity Score: 138.92190129982208

 Document Pair(1,3) 	 Similarity Score: 138.92190129982208

 Document Pair(1,4) 	 Similarity Score: 40.38873605350878

 Document Pair(1,5) 	 Similarity Score: 40.38873605350878

 Document Pair(1,6) 	 Similarity Score: 40.38873605350878

 Document Pair(1,7) 	 Similarity Score: 40.38873605350878

 Document Pair(1,8) 	 Similarity Score: 40.38873605350878

 Document Pair(1,9) 	 Similarity Score: 40.38873605350878

 Document Pair(1,10) 	 Similarity Score: 40.38873605350878

 Document Pair(1,11) 	 Similarity Score: 40.38873605350878

 Document Pair(1,12) 	 Similarity Score: 40.38873605350878

 Document Pair(1,13) 	 Similarity Score: 40.38873605350878

 Document Pair(1,14) 	 Similarity Score: 40.38873605350878

 Document Pair(1,15) 	 Similarity Score: 40.38873605350878

 Document Pair(1,16) 	 Similarity Score: 40.38873605350878

 Document Pair(1,17) 	 Similarity Score: 40.38873605350878

 Document Pair(1,18) 	 Similarity Score: 40.38873605350878

 Document Pair(1,19) 	 Similarity Score: 40.38873605350878

 Document Pair(1,20) 	 Similarity Score: 40.38873605350878

 Document Pair(2,0) 	 Similarity Score: 40.38873605350878

 Document Pair(2,1) 	 Similarity Score: 138.92190129982208

 Document Pair(2,2) 	 Similarity Score: 138.92190129982208

 Document Pair(2,3) 	 Similarity Score: 138.92190129982208

 Document Pair(2,4) 	 Similarity Score: 40.38873605350878

 Document Pair(2,5) 	 Similarity Score: 40.38873605350878

 Document Pair(2,6) 	 Similarity Score: 40.38873605350878

 Document Pair(2,7) 	 Similarity Score: 40.38873605350878

 Document Pair(2,8) 	 Similarity Score: 40.38873605350878

 Document Pair(2,9) 	 Similarity Score: 40.38873605350878

 Document Pair(2,10) 	 Similarity Score: 40.38873605350878

 Document Pair(2,11) 	 Similarity Score: 40.38873605350878

 Document Pair(2,12) 	 Similarity Score: 40.38873605350878

 Document Pair(2,13) 	 Similarity Score: 40.38873605350878

 Document Pair(2,14) 	 Similarity Score: 40.38873605350878

 Document Pair(2,15) 	 Similarity Score: 40.38873605350878

 Document Pair(2,16) 	 Similarity Score: 40.38873605350878

 Document Pair(2,17) 	 Similarity Score: 40.38873605350878

 Document Pair(2,18) 	 Similarity Score: 40.38873605350878

 Document Pair(2,19) 	 Similarity Score: 40.38873605350878

 Document Pair(2,20) 	 Similarity Score: 40.38873605350878

 Document Pair(3,0) 	 Similarity Score: 40.38873605350878

 Document Pair(3,1) 	 Similarity Score: 138.92190129982208

 Document Pair(3,2) 	 Similarity Score: 138.92190129982208

 Document Pair(3,3) 	 Similarity Score: 138.92190129982208

 Document Pair(3,4) 	 Similarity Score: 40.38873605350878

 Document Pair(3,5) 	 Similarity Score: 40.38873605350878

 Document Pair(3,6) 	 Similarity Score: 40.38873605350878

 Document Pair(3,7) 	 Similarity Score: 40.38873605350878

 Document Pair(3,8) 	 Similarity Score: 40.38873605350878

 Document Pair(3,9) 	 Similarity Score: 40.38873605350878

 Document Pair(3,10) 	 Similarity Score: 40.38873605350878

 Document Pair(3,11) 	 Similarity Score: 40.38873605350878

 Document Pair(3,12) 	 Similarity Score: 40.38873605350878

 Document Pair(3,13) 	 Similarity Score: 40.38873605350878

 Document Pair(3,14) 	 Similarity Score: 40.38873605350878

 Document Pair(3,15) 	 Similarity Score: 40.38873605350878

 Document Pair(3,16) 	 Similarity Score: 40.38873605350878

 Document Pair(3,17) 	 Similarity Score: 40.38873605350878

 Document Pair(3,18) 	 Similarity Score: 40.38873605350878

 Document Pair(3,19) 	 Similarity Score: 40.38873605350878

 Document Pair(3,20) 	 Similarity Score: 40.38873605350878

 Document Pair(4,0) 	 Similarity Score: 112.42640687119285

 Document Pair(4,1) 	 Similarity Score: 40.38873605350878

 Document Pair(4,2) 	 Similarity Score: 40.38873605350878

 Document Pair(4,3) 	 Similarity Score: 40.38873605350878

 Document Pair(4,4) 	 Similarity Score: 138.92190129982208

 Document Pair(4,5) 	 Similarity Score: 138.92190129982208

 Document Pair(4,6) 	 Similarity Score: 112.42640687119285

 Document Pair(4,7) 	 Similarity Score: 112.42640687119285

 Document Pair(4,8) 	 Similarity Score: 112.42640687119285

 Document Pair(4,9) 	 Similarity Score: 112.42640687119285

 Document Pair(4,10) 	 Similarity Score: 112.42640687119285

 Document Pair(4,11) 	 Similarity Score: 40.38873605350878

 Document Pair(4,12) 	 Similarity Score: 40.38873605350878

 Document Pair(4,13) 	 Similarity Score: 40.38873605350878

 Document Pair(4,14) 	 Similarity Score: 40.38873605350878

 Document Pair(4,15) 	 Similarity Score: 40.38873605350878

 Document Pair(4,16) 	 Similarity Score: 40.38873605350878

 Document Pair(4,17) 	 Similarity Score: 40.38873605350878

 Document Pair(4,18) 	 Similarity Score: 40.38873605350878

 Document Pair(4,19) 	 Similarity Score: 40.38873605350878

 Document Pair(4,20) 	 Similarity Score: 40.38873605350878

 Document Pair(5,0) 	 Similarity Score: 112.42640687119285

 Document Pair(5,1) 	 Similarity Score: 40.38873605350878

 Document Pair(5,2) 	 Similarity Score: 40.38873605350878

 Document Pair(5,3) 	 Similarity Score: 40.38873605350878

 Document Pair(5,4) 	 Similarity Score: 138.92190129982208

 Document Pair(5,5) 	 Similarity Score: 138.92190129982208

 Document Pair(5,6) 	 Similarity Score: 112.42640687119285

 Document Pair(5,7) 	 Similarity Score: 112.42640687119285

 Document Pair(5,8) 	 Similarity Score: 112.42640687119285

 Document Pair(5,9) 	 Similarity Score: 112.42640687119285

 Document Pair(5,10) 	 Similarity Score: 112.42640687119285

 Document Pair(5,11) 	 Similarity Score: 40.38873605350878

 Document Pair(5,12) 	 Similarity Score: 40.38873605350878

 Document Pair(5,13) 	 Similarity Score: 40.38873605350878

 Document Pair(5,14) 	 Similarity Score: 40.38873605350878

 Document Pair(5,15) 	 Similarity Score: 40.38873605350878

 Document Pair(5,16) 	 Similarity Score: 40.38873605350878

 Document Pair(5,17) 	 Similarity Score: 40.38873605350878

 Document Pair(5,18) 	 Similarity Score: 40.38873605350878

 Document Pair(5,19) 	 Similarity Score: 40.38873605350878

 Document Pair(5,20) 	 Similarity Score: 40.38873605350878

 Document Pair(6,0) 	 Similarity Score: 138.92190129982208

 Document Pair(6,1) 	 Similarity Score: 40.38873605350878

 Document Pair(6,2) 	 Similarity Score: 40.38873605350878

 Document Pair(6,3) 	 Similarity Score: 40.38873605350878

 Document Pair(6,4) 	 Similarity Score: 112.42640687119285

 Document Pair(6,5) 	 Similarity Score: 112.42640687119285

 Document Pair(6,6) 	 Similarity Score: 138.92190129982208

 Document Pair(6,7) 	 Similarity Score: 138.92190129982208

 Document Pair(6,8) 	 Similarity Score: 138.92190129982208

 Document Pair(6,9) 	 Similarity Score: 138.92190129982208

 Document Pair(6,10) 	 Similarity Score: 138.92190129982208

 Document Pair(6,11) 	 Similarity Score: 40.38873605350878

 Document Pair(6,12) 	 Similarity Score: 40.38873605350878

 Document Pair(6,13) 	 Similarity Score: 40.38873605350878

 Document Pair(6,14) 	 Similarity Score: 40.38873605350878

 Document Pair(6,15) 	 Similarity Score: 40.38873605350878

 Document Pair(6,16) 	 Similarity Score: 40.38873605350878

 Document Pair(6,17) 	 Similarity Score: 40.38873605350878

 Document Pair(6,18) 	 Similarity Score: 40.38873605350878

 Document Pair(6,19) 	 Similarity Score: 40.38873605350878

 Document Pair(6,20) 	 Similarity Score: 40.38873605350878

 Document Pair(7,0) 	 Similarity Score: 138.92190129982208

 Document Pair(7,1) 	 Similarity Score: 40.38873605350878

 Document Pair(7,2) 	 Similarity Score: 40.38873605350878

 Document Pair(7,3) 	 Similarity Score: 40.38873605350878

 Document Pair(7,4) 	 Similarity Score: 112.42640687119285

 Document Pair(7,5) 	 Similarity Score: 112.42640687119285

 Document Pair(7,6) 	 Similarity Score: 138.92190129982208

 Document Pair(7,7) 	 Similarity Score: 138.92190129982208

 Document Pair(7,8) 	 Similarity Score: 138.92190129982208

 Document Pair(7,9) 	 Similarity Score: 138.92190129982208

 Document Pair(7,10) 	 Similarity Score: 138.92190129982208

 Document Pair(7,11) 	 Similarity Score: 40.38873605350878

 Document Pair(7,12) 	 Similarity Score: 40.38873605350878

 Document Pair(7,13) 	 Similarity Score: 40.38873605350878

 Document Pair(7,14) 	 Similarity Score: 40.38873605350878

 Document Pair(7,15) 	 Similarity Score: 40.38873605350878

 Document Pair(7,16) 	 Similarity Score: 40.38873605350878

 Document Pair(7,17) 	 Similarity Score: 40.38873605350878

 Document Pair(7,18) 	 Similarity Score: 40.38873605350878

 Document Pair(7,19) 	 Similarity Score: 40.38873605350878

 Document Pair(7,20) 	 Similarity Score: 40.38873605350878

 Document Pair(8,0) 	 Similarity Score: 138.92190129982208

 Document Pair(8,1) 	 Similarity Score: 40.38873605350878

 Document Pair(8,2) 	 Similarity Score: 40.38873605350878

 Document Pair(8,3) 	 Similarity Score: 40.38873605350878

 Document Pair(8,4) 	 Similarity Score: 112.42640687119285

 Document Pair(8,5) 	 Similarity Score: 112.42640687119285

 Document Pair(8,6) 	 Similarity Score: 138.92190129982208

 Document Pair(8,7) 	 Similarity Score: 138.92190129982208

 Document Pair(8,8) 	 Similarity Score: 138.92190129982208

 Document Pair(8,9) 	 Similarity Score: 138.92190129982208

 Document Pair(8,10) 	 Similarity Score: 138.92190129982208

 Document Pair(8,11) 	 Similarity Score: 40.38873605350878

 Document Pair(8,12) 	 Similarity Score: 40.38873605350878

 Document Pair(8,13) 	 Similarity Score: 40.38873605350878

 Document Pair(8,14) 	 Similarity Score: 40.38873605350878

 Document Pair(8,15) 	 Similarity Score: 40.38873605350878

 Document Pair(8,16) 	 Similarity Score: 40.38873605350878

 Document Pair(8,17) 	 Similarity Score: 40.38873605350878

 Document Pair(8,18) 	 Similarity Score: 40.38873605350878

 Document Pair(8,19) 	 Similarity Score: 40.38873605350878

 Document Pair(8,20) 	 Similarity Score: 40.38873605350878

 Document Pair(9,0) 	 Similarity Score: 138.92190129982208

 Document Pair(9,1) 	 Similarity Score: 40.38873605350878

 Document Pair(9,2) 	 Similarity Score: 40.38873605350878

 Document Pair(9,3) 	 Similarity Score: 40.38873605350878

 Document Pair(9,4) 	 Similarity Score: 112.42640687119285

 Document Pair(9,5) 	 Similarity Score: 112.42640687119285

 Document Pair(9,6) 	 Similarity Score: 138.92190129982208

 Document Pair(9,7) 	 Similarity Score: 138.92190129982208

 Document Pair(9,8) 	 Similarity Score: 138.92190129982208

 Document Pair(9,9) 	 Similarity Score: 138.92190129982208

 Document Pair(9,10) 	 Similarity Score: 138.92190129982208

 Document Pair(9,11) 	 Similarity Score: 40.38873605350878

 Document Pair(9,12) 	 Similarity Score: 40.38873605350878

 Document Pair(9,13) 	 Similarity Score: 40.38873605350878

 Document Pair(9,14) 	 Similarity Score: 40.38873605350878

 Document Pair(9,15) 	 Similarity Score: 40.38873605350878

 Document Pair(9,16) 	 Similarity Score: 40.38873605350878

 Document Pair(9,17) 	 Similarity Score: 40.38873605350878

 Document Pair(9,18) 	 Similarity Score: 40.38873605350878

 Document Pair(9,19) 	 Similarity Score: 40.38873605350878

 Document Pair(9,20) 	 Similarity Score: 40.38873605350878

 Document Pair(10,0) 	 Similarity Score: 138.92190129982208

 Document Pair(10,1) 	 Similarity Score: 40.38873605350878

 Document Pair(10,2) 	 Similarity Score: 40.38873605350878

 Document Pair(10,3) 	 Similarity Score: 40.38873605350878

 Document Pair(10,4) 	 Similarity Score: 112.42640687119285

 Document Pair(10,5) 	 Similarity Score: 112.42640687119285

 Document Pair(10,6) 	 Similarity Score: 138.92190129982208

 Document Pair(10,7) 	 Similarity Score: 138.92190129982208

 Document Pair(10,8) 	 Similarity Score: 138.92190129982208

 Document Pair(10,9) 	 Similarity Score: 138.92190129982208

 Document Pair(10,10) 	 Similarity Score: 138.92190129982208

 Document Pair(10,11) 	 Similarity Score: 40.38873605350878

 Document Pair(10,12) 	 Similarity Score: 40.38873605350878

 Document Pair(10,13) 	 Similarity Score: 40.38873605350878

 Document Pair(10,14) 	 Similarity Score: 40.38873605350878

 Document Pair(10,15) 	 Similarity Score: 40.38873605350878

 Document Pair(10,16) 	 Similarity Score: 40.38873605350878

 Document Pair(10,17) 	 Similarity Score: 40.38873605350878

 Document Pair(10,18) 	 Similarity Score: 40.38873605350878

 Document Pair(10,19) 	 Similarity Score: 40.38873605350878

 Document Pair(10,20) 	 Similarity Score: 40.38873605350878

 Document Pair(11,0) 	 Similarity Score: 40.38873605350878

 Document Pair(11,1) 	 Similarity Score: 40.38873605350878

 Document Pair(11,2) 	 Similarity Score: 40.38873605350878

 Document Pair(11,3) 	 Similarity Score: 40.38873605350878

 Document Pair(11,4) 	 Similarity Score: 40.38873605350878

 Document Pair(11,5) 	 Similarity Score: 40.38873605350878

 Document Pair(11,6) 	 Similarity Score: 40.38873605350878

 Document Pair(11,7) 	 Similarity Score: 40.38873605350878

 Document Pair(11,8) 	 Similarity Score: 40.38873605350878

 Document Pair(11,9) 	 Similarity Score: 40.38873605350878

 Document Pair(11,10) 	 Similarity Score: 40.38873605350878

 Document Pair(11,11) 	 Similarity Score: 138.92190129982208

 Document Pair(11,12) 	 Similarity Score: 138.92190129982208

 Document Pair(11,13) 	 Similarity Score: 138.92190129982208

 Document Pair(11,14) 	 Similarity Score: 138.92190129982208

 Document Pair(11,15) 	 Similarity Score: 40.38873605350878

 Document Pair(11,16) 	 Similarity Score: 40.38873605350878

 Document Pair(11,17) 	 Similarity Score: 40.38873605350878

 Document Pair(11,18) 	 Similarity Score: 40.38873605350878

 Document Pair(11,19) 	 Similarity Score: 40.38873605350878

 Document Pair(11,20) 	 Similarity Score: 40.38873605350878

 Document Pair(12,0) 	 Similarity Score: 40.38873605350878

 Document Pair(12,1) 	 Similarity Score: 40.38873605350878

 Document Pair(12,2) 	 Similarity Score: 40.38873605350878

 Document Pair(12,3) 	 Similarity Score: 40.38873605350878

 Document Pair(12,4) 	 Similarity Score: 40.38873605350878

 Document Pair(12,5) 	 Similarity Score: 40.38873605350878

 Document Pair(12,6) 	 Similarity Score: 40.38873605350878

 Document Pair(12,7) 	 Similarity Score: 40.38873605350878

 Document Pair(12,8) 	 Similarity Score: 40.38873605350878

 Document Pair(12,9) 	 Similarity Score: 40.38873605350878

 Document Pair(12,10) 	 Similarity Score: 40.38873605350878

 Document Pair(12,11) 	 Similarity Score: 138.92190129982208

 Document Pair(12,12) 	 Similarity Score: 138.92190129982208

 Document Pair(12,13) 	 Similarity Score: 138.92190129982208

 Document Pair(12,14) 	 Similarity Score: 138.92190129982208

 Document Pair(12,15) 	 Similarity Score: 40.38873605350878

 Document Pair(12,16) 	 Similarity Score: 40.38873605350878

 Document Pair(12,17) 	 Similarity Score: 40.38873605350878

 Document Pair(12,18) 	 Similarity Score: 40.38873605350878

 Document Pair(12,19) 	 Similarity Score: 40.38873605350878

 Document Pair(12,20) 	 Similarity Score: 40.38873605350878

 Document Pair(13,0) 	 Similarity Score: 40.38873605350878

 Document Pair(13,1) 	 Similarity Score: 40.38873605350878

 Document Pair(13,2) 	 Similarity Score: 40.38873605350878

 Document Pair(13,3) 	 Similarity Score: 40.38873605350878

 Document Pair(13,4) 	 Similarity Score: 40.38873605350878

 Document Pair(13,5) 	 Similarity Score: 40.38873605350878

 Document Pair(13,6) 	 Similarity Score: 40.38873605350878

 Document Pair(13,7) 	 Similarity Score: 40.38873605350878

 Document Pair(13,8) 	 Similarity Score: 40.38873605350878

 Document Pair(13,9) 	 Similarity Score: 40.38873605350878

 Document Pair(13,10) 	 Similarity Score: 40.38873605350878

 Document Pair(13,11) 	 Similarity Score: 138.92190129982208

 Document Pair(13,12) 	 Similarity Score: 138.92190129982208

 Document Pair(13,13) 	 Similarity Score: 138.92190129982208

 Document Pair(13,14) 	 Similarity Score: 138.92190129982208

 Document Pair(13,15) 	 Similarity Score: 40.38873605350878

 Document Pair(13,16) 	 Similarity Score: 40.38873605350878

 Document Pair(13,17) 	 Similarity Score: 40.38873605350878

 Document Pair(13,18) 	 Similarity Score: 40.38873605350878

 Document Pair(13,19) 	 Similarity Score: 40.38873605350878

 Document Pair(13,20) 	 Similarity Score: 40.38873605350878

 Document Pair(14,0) 	 Similarity Score: 40.38873605350878

 Document Pair(14,1) 	 Similarity Score: 40.38873605350878

 Document Pair(14,2) 	 Similarity Score: 40.38873605350878

 Document Pair(14,3) 	 Similarity Score: 40.38873605350878

 Document Pair(14,4) 	 Similarity Score: 40.38873605350878

 Document Pair(14,5) 	 Similarity Score: 40.38873605350878

 Document Pair(14,6) 	 Similarity Score: 40.38873605350878

 Document Pair(14,7) 	 Similarity Score: 40.38873605350878

